"city_comp","time","state","n","x","city","estimated_population","deaths","confirmed"
"SOROCABA-SP",2,"SP",210,1,"SOROCABA",687357,57,1273
"SOROCABA-SP",3,"SP",250,1,"SOROCABA",687357,98,2663
"SOUSA-PB",1,"PB",11,0,"SOUSA",69723,1,100
"SOUSA-PB",2,"PB",250,2,"SOUSA",69723,1,299
"SOUSA-PB",3,"PB",250,0,"SOUSA",69723,2,443
"TEFÉ-AM",1,"AM",250,42,"TEFÉ",59547,45,1037
"TEFÉ-AM",2,"AM",250,43,"TEFÉ",59547,62,2253
"TEFÉ-AM",3,"AM",250,37,"TEFÉ",59547,76,2701
"TEÓFILO OTONI-MG",1,"MG",242,1,"TEÓFILO OTONI",140937,4,86
"TEÓFILO OTONI-MG",2,"MG",250,2,"TEÓFILO OTONI",140937,10,372
"TEÓFILO OTONI-MG",3,"MG",250,5,"TEÓFILO OTONI",140937,22,638
"TERESINA-PI",1,"PI",250,1,"TERESINA",868075,46,1577
"TERESINA-PI",2,"PI",250,3,"TERESINA",868075,137,3309
"TERESINA-PI",3,"PI",250,21,"TERESINA",868075,307,6618
"UBERABA-MG",1,"MG",250,0,"UBERABA",337092,5,116
"UBERABA-MG",2,"MG",250,0,"UBERABA",337092,8,283
"UBERABA-MG",3,"MG",250,1,"UBERABA",337092,22,533
"UBERLÂNDIA-MG",1,"MG",235,0,"UBERLÂNDIA",699097,13,459
"UBERLÂNDIA-MG",2,"MG",250,0,"UBERLÂNDIA",699097,26,1214
"UBERLÂNDIA-MG",3,"MG",250,1,"UBERLÂNDIA",699097,63,3053
"URUGUAIANA-RS",1,"RS",250,0,"URUGUAIANA",126866,0,32
"URUGUAIANA-RS",2,"RS",250,0,"URUGUAIANA",126866,0,53
"URUGUAIANA-RS",3,"RS",250,1,"URUGUAIANA",126866,0,69
"VARGINHA-MG",1,"MG",245,0,"VARGINHA",136602,2,51
"VARGINHA-MG",2,"MG",250,0,"VARGINHA",136602,4,89
"VARGINHA-MG",3,"MG",250,1,"VARGINHA",136602,5,136
"VITÓRIA DA CONQUISTA-BA",1,"BA",86,0,"VITÓRIA DA CONQUISTA",341128,4,84
"VITÓRIA DA CONQUISTA-BA",2,"BA",250,0,"VITÓRIA DA CONQUISTA",341128,5,253
"VITÓRIA DA CONQUISTA-BA",3,"BA",250,0,"VITÓRIA DA CONQUISTA",341128,13,579
"VITÓRIA-ES",1,"ES",250,3,"VITÓRIA",365855,68,1664
"VITÓRIA-ES",2,"ES",250,7,"VITÓRIA",365855,126,3508
"VITÓRIA-ES",3,"ES",250,10,"VITÓRIA",365855,227,6266
"VOLTA REDONDA-RJ",1,"RJ",207,0,"VOLTA REDONDA",273988,20,546
"VOLTA REDONDA-RJ",2,"RJ",250,1,"VOLTA REDONDA",273988,36,927
"VOLTA REDONDA-RJ",3,"RJ",250,2,"VOLTA REDONDA",273988,56,1507
